지역명,전용면적,연도,월,평당분양가격
광주,60m²~85m²,2015,12,8213.699999999999
광주,85m²~102m²,2015,12,
광주,102m²~,2015,12,
대전,모든면적,2015,12,8098.2
대전,60m²,2015,12,8530.5
대전,60m²~85m²,2015,12,8012.4
대전,85m²~102m²,2015,12,8121.299999999999
대전,102m²~,2015,12,
울산,모든면적,2015,12,10041.9
울산,60m²,2015,12,8527.199999999999
울산,60m²~85m²,2015,12,10058.4
울산,85m²~102m²,2015,12,8787.9
울산,102m²~,2015,12,9484.199999999999
세종,모든면적,2015,12,8794.5
세종,60m²,2015,12,8583.3
세종,60m²~85m²,2015,12,8830.8
세종,85m²~102m²,2015,12,8781.3
세종,102m²~,2015,12,9081.6
강원,모든면적,2015,12,7164.299999999999
강원,60m²,2015,12,7563.599999999999
강원,60m²~85m²,2015,12,7236.9
강원,85m²~102m²,2015,12,6801.299999999999
강원,102m²~,2015,12,7164.299999999999
충북,모든면적,2015,12,6616.5
충북,60m²,2015,12,6405.299999999999
충북,60m²~85m²,2015,12,6656.099999999999
충북,85m²~102m²,2015,12,7510.799999999999
충북,102m²~,2015,12,7461.299999999999
충남,모든면적,2015,12,7487.7
충남,60m²,2015,12,8045.4
충남,60m²~85m²,2015,12,7520.7
충남,85m²~102m²,2015,12,8325.9
충남,102m²~,2015,12,8065.2
전북,모든면적,2015,12,6543.9
전북,60m²,2015,12,6352.5
전북,60m²~85m²,2015,12,6557.099999999999
전북,85m²~102m²,2015,12,7844.099999999999
전북,102m²~,2015,12,7530.599999999999
전남,모든면적,2015,12,6299.7
전남,60m²,2015,12,6596.7
전남,60m²~85m²,2015,12,6289.799999999999
전남,85m²~102m²,2015,12,7464.599999999999
전남,102m²~,2015,12,7180.799999999999
경북,모든면적,2015,12,7197.299999999999
경북,60m²,2015,12,7187.4
경북,60m²~85m²,2015,12,7207.2
경북,85m²~102m²,2015,12,8302.8
경북,102m²~,2015,12,7821.0
경남,모든면적,2015,12,7613.099999999999
경남,60m²,2015,12,7524.0
경남,60m²~85m²,2015,12,7685.7
경남,85m²~102m²,2015,12,9682.199999999999
경남,102m²~,2015,12,9962.699999999999
제주,모든면적,2015,12,7484.4
제주,60m²,2015,12,
제주,60m²~85m²,2015,12,7458.0
제주,85m²~102m²,2015,12,8523.9
제주,102m²~,2015,12,8494.199999999999
서울,모든면적,2016,1,20156.399999999998
서울,60m²,2016,1,21209.1
